-6480,-2952,-16988
-6472,-3068,-17084
-6388,-2988,-17020
-6448,-2992,-17128
-6400,-2984,-17052
-6324,-3108,-16968
-6448,-2988,-16964
-6424,-3024,-16932
-6504,-3028,-16936
-6468,-3104,-17028
-6384,-3068,-16880
-6468,-3044,-16944
-6336,-3044,-16936
-6428,-2960,-16868
-6400,-3120,-16928
-6452,-2912,-17000
-6496,-3060,-16856
-6496,-3000,-17112
-6472,-3000,-16964
-6496,-2920,-16940
-6468,-2972,-16884
-6476,-2988,-17036
-6528,-3084,-17092
-6532,-2976,-17072
-6496,-2996,-16932
-6376,-2940,-16976
-6408,-3008,-16948
-6388,-3012,-16852
-6396,-2976,-16932
-6480,-3096,-16924
-6472,-2924,-17040
-6320,-3084,-16816
-6460,-3100,-17016
-6516,-3036,-16928
-6440,-3056,-16976
-6460,-3092,-17040
-6488,-3064,-16992
-6468,-2964,-17048
-6400,-2960,-16940
-6472,-3028,-17068
-6500,-2936,-16780
-6372,-3100,-16928
-6496,-3052,-16940
-6492,-3104,-17044
-6460,-2988,-16940
-6472,-3056,-17092
-6460,-3060,-16860
-6384,-3048,-17076
-6512,-3060,-16944
-6480,-2968,-17076
-6440,-3016,-17032
-6484,-3076,-17016
-6508,-3104,-16992
-6392,-3112,-16984
-6372,-3048,-17028
-6436,-3088,-16988
-6440,-3112,-16880
-6552,-3056,-17124
-6444,-3084,-16932
-6540,-3128,-16920
-6512,-3036,-16896
-6408,-3064,-16896
-6452,-3048,-16928
-6596,-3044,-16936
-6456,-3080,-16944
-6516,-3024,-17144
-6440,-3072,-16900
-6436,-3092,-17044
-6576,-3084,-16928
-6416,-3004,-17004
-6548,-3052,-16992
-6548,-3000,-17100
-6564,-2976,-16976
-6472,-3080,-16968
-6440,-3044,-17024
-6568,-3004,-16984
-6484,-3108,-17032
-6456,-3072,-16916
-6432,-3004,-17068
-6408,-3048,-16924
-6484,-2944,-17036
-6468,-3076,-17064
-6508,-2984,-16916
-6500,-3056,-16992
-6384,-3060,-17212
-6460,-2992,-16932
-6460,-3008,-16960
-6456,-2968,-16968
-6432,-3128,-17032
-6496,-2992,-17100
-6524,-2960,-16972
-6560,-3028,-16936
-6488,-3068,-17124
-6492,-3040,-17160
-6464,-3076,-16844
-6552,-3016,-16948
-6564,-3076,-16908
-6520,-3120,-16960
-6452,-3152,-16968
-6480,-3000,-16928
-6436,-3064,-16864
-6524,-3036,-16956
-6452,-3008,-17096
-6468,-3160,-16884
-6468,-3084,-16836
-6476,-3032,-17096
-6460,-2960,-16952
-6516,-3028,-17028
-6480,-3100,-17020
-6436,-3032,-16984
-6504,-3104,-17020
-6408,-3084,-16904
-6580,-3028,-16852
-6512,-2904,-17032
-6604,-3076,-17196
-6488,-3008,-16828
-6564,-3136,-16932
-6524,-3068,-16940
-6484,-2968,-17068
-6468,-3092,-17016
-6420,-3028,-16948
-6420,-3036,-17064
-6468,-3108,-17032
-6508,-3036,-17108
-6544,-3068,-17044
-6508,-3072,-16944
-6536,-3032,-16968
-6412,-3032,-16912
-6520,-3004,-17096
-6408,-2984,-16976
-6492,-3064,-16940
-6456,-3112,-17040
-6580,-3144,-16928
-6540,-3052,-17040
-6508,-3148,-16960
-6500,-3004,-16912
-6576,-2928,-16884
-6552,-3028,-17080
-6520,-3036,-17068
-6460,-3064,-16952
-6392,-3128,-16980
-6580,-3016,-17108
-6524,-2988,-16980
-6432,-3036,-17036
-6508,-3104,-16900
-6496,-3116,-17096
-6548,-3084,-17104
-6492,-3088,-17004
-6492,-3056,-16920
-6572,-3040,-16972
-6476,-3032,-17000
-6576,-3064,-16908
-6552,-3120,-17020
-6372,-3004,-16848
-6372,-3048,-17032
-6472,-3036,-16912
-6504,-3052,-17048
-6536,-3088,-17076
-6580,-3044,-17000
-6468,-3096,-16828
-6488,-3060,-16956
-6404,-3116,-17032
-6528,-3052,-16952
-6548,-3060,-16960
-6492,-3056,-17048
-6532,-3004,-17016
-6388,-3064,-17076
-6572,-3052,-17052
-6524,-3068,-16928
-6572,-2984,-17100
-6436,-3084,-16956
-6556,-3032,-17056
-6580,-2956,-16956
-6428,-3036,-16992
-6604,-3028,-17052
-6600,-3076,-17120
-6508,-3048,-16904
-6520,-3064,-17172
-6576,-3016,-16876
-6488,-2928,-16964
-6448,-3092,-16964
-6560,-2980,-16928
-6548,-3104,-16872
-6524,-3152,-17140
-6592,-3088,-16984
-6484,-3072,-17112
-6572,-3112,-16772
-6504,-3048,-16912
-6496,-3000,-16872
-6468,-3060,-16860
-6476,-3028,-16992
-6532,-2980,-16960
-6492,-3060,-16880
-6492,-3048,-16916
-6484,-3076,-16992
-6552,-2964,-16816
-6552,-3096,-17132
-6484,-3120,-16860
-6484,-2972,-17040
-6512,-3068,-17084
-6496,-3104,-16928
-6440,-3068,-17084
-6532,-3080,-17000
-6508,-3080,-16936
-6388,-3056,-16968
-6504,-3056,-16936
-6560,-3152,-16916
-6460,-3072,-17068
-6532,-3008,-17116
-6440,-3040,-17008
-6596,-3032,-17124
-6632,-3060,-16948
-6436,-3136,-17008
-6556,-3000,-17064
-6528,-2988,-16872
-6512,-3072,-16980
-6548,-3056,-17044
-6504,-3012,-17056
-6532,-3016,-16976
-6464,-3184,-17112
-6440,-2996,-17004
-6528,-3084,-17000
-6540,-2988,-17096
-6552,-3092,-16992
-6568,-3052,-17108
-6548,-3052,-16868
-6444,-3000,-17148
-6468,-3112,-17092
-6484,-2972,-17064
-6600,-3124,-17032
-6484,-2944,-17132
-6516,-2976,-17040
-6536,-3068,-17064
-6572,-3112,-16992
-6512,-2960,-17016
-6460,-3072,-17028
-6516,-3088,-17040
-6496,-3088,-16932
-6564,-3096,-17048
-6440,-3112,-17172
-6448,-2996,-17072
-6552,-3140,-17080
-6572,-2956,-17136
-6540,-3032,-16976
-6528,-2992,-17040
-6416,-3084,-16992
-6624,-3004,-17084
-6564,-3000,-16996
-6452,-3036,-16836
-6572,-2920,-17040
-6512,-2984,-17036
-6436,-3108,-16992
-6556,-3088,-16892
-6528,-3032,-17008
-6592,-3152,-16960
-6480,-2968,-17080
-6520,-3072,-17132
-6440,-3112,-17068
-6452,-2984,-16952
-6480,-3032,-17200
-6488,-3020,-17064
-6512,-2988,-17060
-6612,-3096,-17000
-6516,-3080,-17032
-6528,-3044,-17100
-6576,-3004,-16932
-6488,-3092,-17032
-6468,-3104,-16844
-6448,-3084,-16904
-6560,-3056,-17104
-6560,-3084,-16876
-6520,-2988,-17084
-6444,-3008,-17124
-6528,-3020,-17004
-6624,-3096,-17012
-6604,-3120,-16912
-6472,-3088,-16980
-6640,-3092,-17160
-6528,-3024,-16968
-6536,-3024,-17112
-6496,-3116,-16912
-6492,-3088,-17024
-6516,-3108,-17044
-6636,-3060,-16984
-6440,-3124,-17028
-6500,-3028,-16972
-6444,-3060,-16928
-6604,-3068,-16968
-6560,-3028,-17060
-6500,-3132,-16996
-6572,-3116,-17036
-6468,-3104,-17040
-6508,-3080,-17124
-6572,-3096,-17056
-6584,-3016,-17032
-6576,-3048,-17128
-6560,-3012,-16984
-6544,-3004,-17056
-6600,-3052,-17064
-6588,-3104,-16964
-6536,-3020,-16908
-6560,-2964,-17044
-6588,-2988,-17124
-6632,-3032,-17016
-6560,-3012,-17160
-6600,-3096,-16832
-6636,-3060,-17044
-6628,-2968,-16996
-6600,-2972,-16912
-6640,-2956,-16872
-6536,-3072,-16940
-6468,-2976,-17040
-6592,-2980,-16992
-6640,-3096,-16924
-6540,-3028,-16976
-6516,-3020,-16832
-6548,-3128,-16920
-6476,-3104,-17040
-6532,-2976,-16828
-6508,-2964,-17048
-6468,-3112,-16940
-6600,-3016,-16900
-6564,-3020,-16840
-6492,-3028,-17000
